# blastp
# Iteration: 0
# Query: g702.t1
# RID: YD4GEH1W014
# Database: swissprot
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives
# 3 hits found
g702.t1	P0DPW4.1	40.476	84	49	1	57	140	29	111	1.50e-11	62.4	58.33
g702.t1	P0DPW5.1	41.935	62	35	1	57	118	28	88	1.01e-05	46.6	54.84
g702.t1	P0DPW3.1	31.818	66	41	2	64	129	23	84	0.018	36.6	50.00
# blastp
# Iteration: 0
# Query: g1285.t1
# RID: YD4GEH1W014
# Database: swissprot
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives
# 2 hits found
g1285.t1	P0DPW4.1	37.209	86	50	3	65	149	29	111	1.79e-12	64.3	63.95
g1285.t1	P0DPW5.1	47.826	46	22	1	81	126	44	87	1.69e-05	45.4	60.87
# blastp
# Iteration: 0
# Query: g2203.t1
# RID: YD4GEH1W014
# Database: swissprot
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives
# 41 hits found
g2203.t1	Q69ZQ1.2	35.925	643	377	14	208	841	96	712	2.44e-126	399	53.50
g2203.t1	Q6NSJ0.2	35.681	639	373	14	212	841	101	710	7.80e-125	395	52.58
g2203.t1	P19965.2	27.303	597	368	22	267	845	134	682	1.69e-52	198	46.06
g2203.t1	P96793.1	23.518	506	318	19	337	825	196	649	1.86e-20	100	41.11
g2203.t1	Q5AW25.1	24.845	483	288	21	337	800	216	642	1.41e-18	94.4	40.58
g2203.t1	D2PPM7.1	23.056	373	236	11	469	813	334	683	3.13e-16	86.7	40.21
g2203.t1	D0KQM8.1	23.696	460	274	18	421	832	166	596	9.63e-16	85.1	41.30
g2203.t1	P0CD66.1	23.696	460	274	18	421	832	166	596	1.09e-15	85.1	41.30
g2203.t1	P31434.2	24.146	439	268	20	432	839	265	669	7.68e-14	79.3	39.64
g2203.t1	Q8RQV0.1	23.784	370	225	12	476	813	454	798	1.91e-13	78.2	38.92
g2203.t1	Q9US55.1	23.177	384	248	11	466	824	408	769	5.41e-11	70.1	38.80
g2203.t1	Q9F234.1	23.243	370	239	11	466	813	294	640	6.79e-11	69.7	38.38
g2203.t1	F4J6T7.1	21.925	374	245	11	469	818	325	675	1.33e-10	68.9	39.04
g2203.t1	P10253.4	23.038	395	228	15	469	813	404	772	1.87e-09	65.1	36.71
g2203.t1	Q43763.1	27.059	170	101	3	655	818	542	694	1.99e-09	65.1	45.29
g2203.t1	P79403.1	22.664	428	248	18	445	829	405	792	2.56e-09	64.7	37.62
g2203.t1	O04893.1	29.050	179	97	4	653	823	570	726	6.66e-09	63.2	41.90
g2203.t1	Q9MYM4.1	22.785	395	229	14	469	813	391	759	1.23e-08	62.4	35.95
g2203.t1	O04931.1	28.485	165	95	4	655	813	576	723	1.44e-08	62.4	44.85
g2203.t1	Q6P7A9.1	22.938	388	223	13	478	815	413	774	1.59e-08	62.0	35.82
g2203.t1	P70699.2	23.575	386	223	13	478	815	413	774	2.01e-08	62.0	36.01
g2203.t1	Q653V7.1	23.308	399	228	18	469	818	331	700	5.48e-08	60.5	39.35
g2203.t1	Q9S7Y7.1	25.882	170	103	4	655	818	571	723	5.55e-08	60.5	41.76
g2203.t1	Q14697.3	22.798	386	231	15	457	809	419	770	7.24e-08	60.1	36.27
g2203.t1	Q4R4N7.1	22.359	407	249	15	435	809	399	770	2.53e-07	58.2	35.87
g2203.t1	Q8BHN3.1	22.251	382	220	15	465	809	429	770	2.60e-07	58.2	37.43
g2203.t1	Q9URX4.1	28.667	150	78	4	659	799	681	810	2.85e-07	58.2	46.00
g2203.t1	P32138.3	20.449	401	276	12	453	830	272	652	4.36e-07	57.4	39.15
g2203.t1	B9F676.1	23.618	199	122	5	655	843	594	772	2.49e-06	55.1	40.70
g2203.t1	P29064.1	26.699	206	113	9	654	839	749	936	6.50e-06	53.5	41.75
